edge_name,edge_point_id,X_m,Y_m,Z_m,Temperature_C,node_id,chainage,distance_to_ref
Right,101,0.18093013,0.045881003,0,361.674829,2137,0.04582662367297319,0.0
Right,102,0.180499070000001,0.045881003,0,361.601343,3501,0.04625768367297217,0.0
Right,103,0.18006801,0.045881003,0,361.482385,2181,0.04668874367297318,0.0
Right,104,0.17963695,0.045881003,0,361.302576,2183,0.04711980367297319,0.0
Right,105,0.179209230000001,0.04592,0,361.025232,2187,0.04754929775256934,0.0
Right,106,0.178833,0.046124012,0,360.617273,2131,0.04797728129085645,0.0
Right,107,0.178575990000001,0.046467007,0,360.095972,3399,0.04840588333252737,0.0
Right,108,0.17848634,0.046885014,0,359.474878,3504,0.048833395875675735,0.0
Right,109,0.17848634,0.047372014,0,358.919092,2136,0.04932039587567573,0.0
Right,110,0.17848634,0.047859013,0,358.620386,2120,0.04980739487567573,0.0
Right,111,0.17848634,0.048346013,0,358.382104,753,0.05029439487567573,0.0
Right,112,0.17848634,0.048832,0,358.152612,752,0.05078038187567573,0.0
Right,113,0.17848634,0.049319014,0,357.920374,2154,0.051267395875675734,0.0
Right,114,0.17848634,0.049806014,0,357.683496,2153,0.051754395875675735,0.0
Right,115,0.17848634,0.050292,0,357.442407,3508,0.052240381875675736,0.0
Right,116,0.17848634,0.050779,0,357.194177,3520,0.05272738187567573,0.0
Right,117,0.17848634,0.051266,0,356.940759,3507,0.05321438187567573,0.0
Right,118,0.17848634,0.051753,0,356.686304,2142,0.05370138187567573,0.0
Right,119,0.17848634,0.052239001,0,356.430139,3487,0.05418738287567573,0.0
Right,120,0.17848634,0.052726001,0,356.171472,2126,0.054674382875675734,0.0
Right,121,0.17848634,0.053213001,0,355.908655,2125,0.055161382875675735,0.0
Right,122,0.17848634,0.0537,0,355.641931,2155,0.05564838187567573,0.0
Right,123,0.17848634,0.054186002,0,355.372827,2164,0.05613438387567573,0.0
Right,124,0.17848634,0.054673001,0,355.104456,3509,0.05662138287567573,0.0
Right,125,0.17848634,0.055160001,0,354.840723,2161,0.05710838287567573,0.0
Right,126,0.17848634,0.055647001,0,354.582056,2160,0.057595382875675734,0.0
Right,127,0.17848634,0.056133002,0,354.323755,3510,0.058081383875675734,0.0
Right,128,0.17848634,0.056620002,0,354.0599,2146,0.058568383875675735,0.0
Right,129,0.17848634,0.057107002,0,353.790918,2147,0.05905538387567573,0.0
Right,130,0.17848634,0.057594002,0,353.517603,703,0.05954238387567573,0.0
Right,131,0.17848634,0.058080003,0,353.244043,706,0.06002838487567573,0.0
Right,132,0.17848634,0.058567003,0,352.972986,3475,0.06051538487567573,0.0
Right,133,0.17848634,0.059054002,0,352.705652,3476,0.061002383875675734,0.0
Right,134,0.17848634,0.059540004,0,352.442041,3512,0.06148838587567573,0.0
Right,135,0.17848634,0.060027004,0,352.180078,2180,0.061975385875675734,0.0
Right,136,0.17848634,0.060514003,0,351.922205,3473,0.06246238487567573,0.0
Right,137,0.17848634,0.061001003,0,351.669336,3474,0.06294938487567572,0.0
Right,138,0.17848634,0.061487004,0,351.420618,3511,0.06343538587567572,0.0
Right,139,0.17848634,0.061974004,0,351.175928,3513,0.06392238587567572,0.0
Right,140,0.17848634,0.062461004,0,350.936121,2171,0.06440938587567573,0.0
Right,141,0.17848634,0.062948019,0,350.704431,2170,0.06489640087567572,0.0
Right,142,0.17848634,0.063434005,0,350.483911,3518,0.06538238687567573,0.0
Right,143,0.17848634,0.063921005,0,350.280115,3515,0.06586938687567573,0.0
Right,144,0.17848634,0.064408005,0,350.098108,711,0.06635638687567573,0.0
Right,145,0.17848634,0.064895004,0,349.941064,2172,0.06684338587567573,0.0
Right,146,0.17848634,0.065381021,0,349.813379,3514,0.06732940287567572,0.0
Right,147,0.17848634,0.06586802,0,349.720789,3517,0.06781640187567572,0.0
Right,148,0.17848634,0.06635502,0,349.673608,2174,0.06830340187567573,0.0
Right,149,0.17848634,0.06684202,0,349.676172,3519,0.06879039982229629,2.053379438704539e-09
