node_id,X_m,Y_m,Z_m,Temperature_C
110,0.0577311500000004,0.0072560019999999,0.0,558.36
111,0.0681343000000005,0.0087670089999999,0.0,541.89
112,0.06792116,0.008272007,0.0,541.99
113,0.0676369600000006,0.0087670089999999,0.0,541.42
114,0.0951261500000005,0.01375401,0.0,622.13
115,0.0942182499999999,0.013779,0.0,621.81
116,0.0113430000000001,0.0058830089999999,0.0,704.52
117,0.0107469500000006,0.0058270099999999,0.0,706.16
118,0.0110559400000003,0.0064310139999999,0.0,703.11
119,0.0626611700000002,0.0087680069999999,0.0,543.45
120,0.0631580300000003,0.0087680069999999,0.0,542.69
121,0.0629601400000004,0.008274004,0.0,543.28
122,0.10601806,0.014405012,0.0,648.93
123,0.10655307,0.013915003,0.0,650.55
124,0.10598325,0.013585002,0.0,653.26
125,0.08187532,0.00994201,0.0,603.46
126,0.0823063800000003,0.009606004,0.0,605.23
127,0.0818719800000007,0.009326011,0.0,602.71
128,0.0808939900000007,0.008299008,0.0,596.27
129,0.0810322700000006,0.007769004,0.0,596.75
130,0.0805354100000004,0.0077960049999999,0.0,593.82
131,0.0952730100000005,0.015198008,0.0,621.22
132,0.0949621199999999,0.015638009,0.0,620.59
133,0.0954599300000005,0.015638009,0.0,620.91
134,0.0884490000000007,0.0085130039999999,0.0,633.48
135,0.0881524000000002,0.0095650109999999,0.0,629.1
136,0.0889739900000004,0.0092600139999999,0.0,633.14
137,0.0989961600000004,0.01414901,0.0,627.83
138,0.0995073300000007,0.014166013,0.0,629.62
139,0.0992889400000001,0.013638005,0.0,628.79
140,0.0964412600000006,0.012418002,0.0,622.97
141,0.0962672200000005,0.011731014,0.0,622.85
142,0.0957841799999999,0.012174011,0.0,622.75
143,0.0823130600000006,0.010178,0.0,605.91
144,0.0827312400000002,0.009883002,0.0,607.54
145,0.0817971200000001,0.0086750089999999,0.0,601.73
146,0.0813860800000006,0.009141013,0.0,599.85
147,0.0958199500000001,0.011572004,0.0,622.75
148,0.10222625,0.013080001,0.0,646.31
149,0.10270118,0.012901008,0.0,647.91
