grid_i,grid_j,X_m,Y_m,Temperature_C,filled_by_nearest
0,118,0.18819329250509026,0.028031997613144587,376.75250653711595,0
0,119,0.19038678682858629,0.02804729025567827,376.271420015624,0
0,120,0.1925783018613122,0.028090222254386756,376.392601988754,0
0,121,0.1947667718706742,0.028175656791666982,376.7005743103322,0
0,122,0.19694900000000004,0.028348014,376.957971,0
1,0,3.939510024045157e-05,0.0025394140060019128,753.3362641552794,0
1,1,0.001888601936358487,0.001694717836772424,749.8656691006053,0
1,2,0.003703327179327148,0.0009870490785625777,750.5732098649767,0
1,3,0.005592165109115837,0.0006103113607624882,744.4961639047459,0
1,4,0.0074857817204869205,0.0005834151325711499,738.563378074393,0
1,5,0.009216823190485534,0.000982396981890756,737.3108888459057,0
1,6,0.010998524936815723,0.0017310672140230746,729.2420507203046,0
1,7,0.012661968516619859,0.0024052988249369683,709.2176767347603,0
1,8,0.014401462801338466,0.003007872260107998,686.6263034077409,0
1,9,0.01631418896300935,0.0034211618825326774,668.5637956473225,0
1,10,0.018472457734451695,0.003534465669637153,653.1501757211715,0
1,11,0.020768214849453546,0.0034230316716207837,640.0096228088637,0
1,12,0.022963215058175595,0.003411913779272837,630.4080476629738,0
1,13,0.025150095382956844,0.0034345436126412324,623.6921496562752,0
1,14,0.027336677006495974,0.003456989175820902,619.7837788771369,0
1,15,0.029523186601664447,0.0034793468917573805,618.6670879801227,0
1,16,0.031710080919569145,0.0035030332732264254,620.3220971597319,0
1,17,0.03390534083822077,0.0035506108732571446,624.8038226213073,0
1,18,0.0361780700124405,0.003696708220841066,632.4304617348515,0
1,19,0.038356174960129906,0.0036600804026040864,642.6532722624299,0
1,20,0.04030119628635047,0.0032959407795708556,654.2048068335058,0
1,21,0.042079535179404895,0.002739212687438653,676.236809825764,0
1,22,0.04379616294112894,0.0020768902694173236,704.9950581680289,0
1,23,0.04534899052877235,0.0016950118399460814,725.473928817811,0
1,24,0.046371011869382764,0.0017718733904097338,735.5977226999382,0
1,25,0.04702538044847472,0.002068205134311433,743.7918418887308,0
1,26,0.04736824043312564,0.0025302503674443466,737.8202207330512,0
1,27,0.04744257208165565,0.003097656391628198,711.5773409759641,0
1,28,0.047354935150036755,0.0037332826657715304,681.6544622512447,0
1,29,0.04735365824301866,0.004414552178560601,650.4635128830525,0
1,30,0.047933814672723195,0.005133432007763726,640.2160543086379,0
1,31,0.049379084032740224,0.005856731472717236,618.3983049968415,0
1,32,0.05134942582864096,0.006497284059456268,600.1765630614228,0
1,33,0.053476056482082715,0.006866976967798382,581.6803558368771,0
1,34,0.05554973760240905,0.007088593318763411,568.8242593772679,0
1,35,0.05771620717214326,0.00717993883047855,558.4182889577742,0
1,36,0.0598857483856473,0.007230575674019335,550.5431941137768,0
1,37,0.06211725951292851,0.007178169954436228,544.9607879112039,0
1,38,0.06430441851060656,0.007198421332639757,541.9657519211507,0
1,39,0.06649138127323496,0.007218941728319856,541.3394287552665,0
1,40,0.06867842195714077,0.007239552623990648,543.1196711679073,0
1,41,0.07086562743570515,0.007261244321984801,547.2914625690428,0
1,42,0.07305301336515435,0.007287681644518433,553.9164001841124,0
1,43,0.07524123828442231,0.007332615678013118,563.0421228016143,0
1,44,0.07742990336944187,0.007386273655932772,574.6952370398168,0
1,45,0.07960601256913653,0.007368661832974134,587.9460931057738,0
1,46,0.08176600716950003,0.007266168188277904,600.7230355081401,0
1,47,0.08390698793241469,0.007118222775564204,612.6720978239488,0
1,48,0.08602790726485107,0.006955120495253768,623.7761592654847,0
1,49,0.088183212844486,0.006738294784281384,635.6491953246606,0
1,50,0.09007463117660554,0.00685916442553307,649.785484378445,0
1,51,0.091267059178362,0.007300546517751973,662.1037992931733,0
1,52,0.09188148232703151,0.007863581161657937,670.3723929382106,0
1,53,0.09206593272111951,0.008518865225737176,672.3811777545711,0
1,54,0.09196669764900255,0.009242436080570042,655.2640659649612,0
1,55,0.09182611904439683,0.009949009325038697,638.4985858904191,0
1,56,0.09208026072512106,0.010482011484026728,629.3613468198813,0
1,57,0.09312625455367791,0.010880347046250667,623.0269963430665,0
1,58,0.09473188450413879,0.011550174739418615,622.6379282409564,0
1,59,0.09664151819408423,0.012287798996411362,623.0150981040756,0
1,60,0.09841736960940912,0.012781966748373407,624.540751462635,0
1,61,0.09980820546344683,0.012973621143693503,631.0311108161818,0
1,62,0.10104085395451014,0.012950056707257466,639.2168728266063,0
1,63,0.10236533783697511,0.012675562481094884,648.2801596280159,0
1,64,0.10381274780433242,0.01237695048258521,651.9398564875319,0
1,65,0.1053524144162519,0.012333818457508828,660.5795750928987,0
1,66,0.10698353755823489,0.012719200677339046,659.7973583055156,0
1,67,0.1088842426143138,0.013329738697383594,639.417460547138,0
1,68,0.11093817084267615,0.01385356595328046,616.9271659736137,0
1,69,0.11303384695936775,0.014102399793577516,601.9702005889515,0
1,70,0.11519988812283447,0.01421983338508489,589.4841003273341,0
1,71,0.11744781487212354,0.014216501978382775,579.5968696709594,0
1,72,0.1196403549210478,0.014172269976876532,572.852518405177,0
1,73,0.12178963529956204,0.014011151854678725,568.9610286578248,0
1,74,0.12389222453479509,0.013659897543735025,567.7885828247669,0
1,75,0.12595392184434095,0.01321375948973179,569.258057834013,0
1,76,0.1279655861755451,0.012774176752819272,572.6358457893617,0
1,77,0.12987256057409083,0.012446270395712456,578.4511760267716,0
1,78,0.13142356816178613,0.012357628314549288,586.7175437152115,0
1,79,0.13217991320698236,0.01259115357958826,591.5539718062038,0
1,80,0.13280761629039714,0.012898356339457672,595.4326314884132,0
1,81,0.1333402052373748,0.013257108377541434,599.6687945751107,0
1,82,0.13373151839729655,0.013650904263220414,598.1783164202245,0
1,83,0.13395313268796996,0.014061840855426869,588.9909539360413,0
1,84,0.13403077178772024,0.01449604416738483,578.0919308510112,0
1,85,0.13404895526323418,0.014956113029722936,566.376051172366,0
1,86,0.1341574459029987,0.015443723214119348,554.1921660689156,0
1,87,0.13489248217572772,0.01595002254637684,537.7900604631963,0
1,88,0.1363786937543258,0.016434891287332214,523.5938872584957,0
1,89,0.13842268134885669,0.016858428662844448,510.75239672612895,0
1,90,0.1407236557381888,0.0171012531964243,497.7187359596262,0
1,91,0.1429733162798387,0.017198618328044896,485.6677150780673,0
1,92,0.14514481658455525,0.017350405998392663,473.7687538751624,0
1,93,0.14732708869381217,0.01748392256621437,465.82144441419985,0
1,94,0.1493246553049065,0.017772005183083965,460.78755495531266,0
1,95,0.1511296808797729,0.018274941939829564,457.54943605204403,0
1,96,0.1528290760477709,0.01889390311545775,455.4267111452739,0
1,97,0.15431175900029656,0.0193793465468586,450.226299485636,0
1,98,0.15569889292519506,0.019572635674886187,446.6021682656718,0
1,99,0.15705583780485907,0.019587640619565833,444.65658738688126,0
1,100,0.15830200889939888,0.019673222219605713,444.13598131520075,0
1,101,0.1593394699400021,0.020076438728841847,443.84608826448334,0
1,102,0.16006538198191145,0.021035559895766196,443.51483153138315,0
1,103,0.16063144779895877,0.02257097442396268,441.07657797341267,0
1,104,0.16127202955707995,0.024399028981098452,437.0140278743948,0
1,105,0.16213209736091588,0.026025362174448133,431.6189891180095,0
1,106,0.16345191680386767,0.027185700849507586,425.3867311152284,0
1,107,0.16525643820806907,0.02784449594554542,419.18997525026,0
1,108,0.167379655103724,0.02811624008530475,413.5778102090146,0
1,109,0.16965207582751915,0.028132529639698922,408.5638123264051,0
1,110,0.17190652280569277,0.028065874916662074,403.93434624589696,0
1,111,0.17409887061008408,0.028043311635662968,399.57099822741395,0
1,112,0.17626263351181848,0.028072567828292896,395.28641272211894,0
1,113,0.17839932256678556,0.02811165762806221,391.08662281220046,0
1,114,0.18049545420306654,0.028160538549920726,387.0113057132928,0
1,115,0.18253399198077924,0.028219377974503083,383.0649466007458,0
1,116,0.18449815232386282,0.028285540551461822,379.75924819314434,0
1,117,0.18638363017004936,0.028349556812959538,377.67213678868416,0
1,118,0.18823034558106902,0.028388125369920754,376.6137551132515,0
1,119,0.1901521322576232,0.028412207953417982,376.2603840855147,0
1,120,0.19227156715584565,0.02845782774073687,376.36095943835335,0
1,121,0.1946797513301061,0.028577152807479165,376.6965231024605,0
1,122,0.19871764019808094,0.02869305155043534,377.11116976197474,1
2,0,3.694474195689943e-05,0.003106754058023464,751.9745697602938,0
2,1,0.002105839205005883,0.002062857984634845,747.2539855748676,0
2,2,0.003966628712395542,0.0013236645179481006,747.955315911785,0
2,3,0.005848595397634535,0.0009367196175971154,742.3314412961699,0
2,4,0.007708679046627297,0.000914785980511783,737.5850097610496,0
2,5,0.009440529756569454,0.0012991731271375304,735.1486612018084,0
2,6,0.011188404641902351,0.0019710614187312785,726.134543614342,0
2,7,0.012841210235868877,0.002588345334773177,705.767730349763,0
2,8,0.014580125885724503,0.0031364421315801705,683.8242949234077,0
2,9,0.016503685576491848,0.0035034903301014585,667.0609285527382,0
2,10,0.01866568875800576,0.003592471126503785,651.9058107401922,0
2,11,0.02094682680116545,0.0034899337381811496,639.1042797798806,0
2,12,0.02313549755686515,0.0034827355962910927,629.7654293421365,0
2,13,0.025316186226967657,0.0035064117423756606,623.285574743462,0
2,14,0.027496323791922007,0.0035297019683006438,619.6063194543008,0
2,15,0.029676374369864762,0.0035529233625738064,618.6858243123055,0
2,16,0.03185746387833477,0.0035789735006198,620.5339825057385,0
2,17,0.034050970193461,0.003632429513779195,625.2077640223899,0
2,18,0.036310639564884596,0.0037657001578288783,632.9561013204213,0
2,19,0.03847038925983506,0.0037136723039610433,643.2670466571615,0
2,20,0.04039967407653456,0.003354055909597267,654.863760849444,0
2,21,0.04215003792985902,0.002831206513817932,674.9865189534607,0
2,22,0.04377904367614194,0.00226894373971315,701.0840473194238,0
2,23,0.045162991838538516,0.0020099318578054885,718.4276883542525,0
2,24,0.046092950159686674,0.002122617139389399,726.2507826295675,0
2,25,0.046693294944072115,0.0024373180289221025,733.3702672900396,0
2,26,0.04703601689700977,0.002886349502312851,721.5803749220901,0
2,27,0.04717760008307697,0.0034235147860935075,698.332460432604,0
2,28,0.04722517126669887,0.00402472763906559,670.1236768883139,0
2,29,0.04743299243277253,0.004684084680004932,646.7642615726099,0
2,30,0.04823272133096131,0.005386824711563653,636.1995552189571,0
2,31,0.04978845612729666,0.0060798487718695,613.3214110271249,0
2,32,0.05178647542726489,0.006660622140021439,596.8233729921105,0
